id,Qual a principal razão para você ter escolhido a sua instituição de educação superior?,Categoria
458,Qualidade/reputação,Pública
459,Gratuidade,Pública
460,Gratuidade,Pública
461,Gratuidade,Pública
462,Qualidade/reputação,Pública
463,Outro motivo,Pública
464,Gratuidade,Pública
465,Gratuidade,Pública
466,Gratuidade,Pública
467,Gratuidade,Pública
469,Gratuidade,Pública
470,Gratuidade,Pública
471,Qualidade/reputação,Pública
475,Qualidade/reputação,Pública
476,Qualidade/reputação,Pública
479,Gratuidade,Pública
484,Gratuidade,Pública
486,Gratuidade,Pública
488,Proximidade da minha residência,Pública
489,Gratuidade,Pública
490,Gratuidade,Pública
492,Gratuidade,Pública
493,Gratuidade,Pública
495,Gratuidade,Pública
497,Outro motivo,Pública
498,Gratuidade,Pública
499,Foi a única onde tive aprovação,Pública
501,Gratuidade,Pública
502,Gratuidade,Pública
503,Gratuidade,Pública
505,Qualidade/reputação,Pública
506,Gratuidade,Pública
507,Qualidade/reputação,Pública
508,Foi a única onde tive aprovação,Pública
509,Gratuidade,Pública
510,Gratuidade,Pública
512,Gratuidade,Pública
518,Qualidade/reputação,Pública
519,Gratuidade,Pública
521,Qualidade/reputação,Pública
522,Gratuidade,Pública
523,Facilidade de acesso,Pública
526,Qualidade/reputação,Pública
534,Gratuidade,Pública
536,Gratuidade,Pública
537,Gratuidade,Pública
538,Qualidade/reputação,Pública
544,Gratuidade,Pública
546,Gratuidade,Pública
547,Gratuidade,Pública
548,Gratuidade,Pública
551,Qualidade/reputação,Pública
552,Gratuidade,Pública
553,NA,Pública
554,Gratuidade,Pública
556,Facilidade de acesso,Pública
557,Qualidade/reputação,Pública
559,Gratuidade,Pública
560,Qualidade/reputação,Pública
562,Proximidade da minha residência,Pública
565,Proximidade da minha residência,Pública
567,Gratuidade,Pública
568,Gratuidade,Pública
573,Qualidade/reputação,Pública
576,Gratuidade,Pública
579,Gratuidade,Pública
589,Gratuidade,Pública
590,Gratuidade,Pública
591,Gratuidade,Pública
592,Gratuidade,Pública
593,Qualidade/reputação,Pública
595,Gratuidade,Pública
603,Gratuidade,Pública
604,Gratuidade,Pública
605,NA,Pública
607,Qualidade/reputação,Pública
608,Qualidade/reputação,Pública
609,Gratuidade,Pública
612,Gratuidade,Pública
613,Qualidade/reputação,Pública
614,Qualidade/reputação,Pública
615,Gratuidade,Pública
618,Gratuidade,Pública
619,Gratuidade,Pública
620,Gratuidade,Pública
621,Gratuidade,Pública
622,Qualidade/reputação,Pública
623,Gratuidade,Pública
627,Qualidade/reputação,Pública
629,Gratuidade,Pública
630,Gratuidade,Pública
631,Gratuidade,Pública
632,Qualidade/reputação,Pública
633,Outro motivo,Pública
636,Gratuidade,Pública
637,Gratuidade,Pública
640,Qualidade/reputação,Pública
641,Gratuidade,Pública
642,Gratuidade,Pública
643,Qualidade/reputação,Pública
645,Gratuidade,Pública
646,Proximidade da minha residência,Pública
647,Qualidade/reputação,Pública
648,Gratuidade,Pública
649,Gratuidade,Pública
650,Gratuidade,Pública
652,Qualidade/reputação,Pública
653,Gratuidade,Pública
654,Gratuidade,Pública
656,Foi a única onde tive aprovação,Pública
657,Foi a única onde tive aprovação,Pública
658,Gratuidade,Pública
659,Outro motivo,Pública
660,Qualidade/reputação,Pública
661,Qualidade/reputação,Pública
666,Gratuidade,Pública
667,Gratuidade,Pública
668,Gratuidade,Pública
670,Gratuidade,Pública
671,Foi a única onde tive aprovação,Pública
675,Gratuidade,Pública
676,Gratuidade,Pública
677,Gratuidade,Pública
678,Gratuidade,Pública
679,Gratuidade,Pública
682,Qualidade/reputação,Pública
683,Gratuidade,Pública
684,Gratuidade,Pública
685,Gratuidade,Pública
686,Gratuidade,Pública
687,Gratuidade,Pública
688,Gratuidade,Pública
689,Gratuidade,Pública
690,Gratuidade,Pública
691,Gratuidade,Pública
693,Gratuidade,Pública
694,Gratuidade,Pública
696,Gratuidade,Pública
697,Gratuidade,Pública
699,Qualidade/reputação,Pública
701,Gratuidade,Pública
703,Qualidade/reputação,Pública
704,Gratuidade,Pública
705,Gratuidade,Pública
706,Gratuidade,Pública
710,Gratuidade,Pública
711,Gratuidade,Pública
712,Gratuidade,Pública
713,Gratuidade,Pública
714,Gratuidade,Pública
715,Outro motivo,Pública
717,Qualidade/reputação,Pública
718,NA,Pública
720,Gratuidade,Pública
721,Gratuidade,Pública
722,Gratuidade,Pública
723,Qualidade/reputação,Pública
724,Gratuidade,Pública
725,Gratuidade,Pública
727,Qualidade/reputação,Pública
729,Outro motivo,Pública
730,Outro motivo,Pública
738,Outro motivo,Pública
742,Gratuidade,Pública
744,Gratuidade,Pública
745,Gratuidade,Pública
749,Outro motivo,Pública
750,Qualidade/reputação,Pública
751,Gratuidade,Pública
752,Outro motivo,Pública
753,Outro motivo,Pública
754,Qualidade/reputação,Pública
755,Qualidade/reputação,Pública
756,Gratuidade,Pública
757,Proximidade da minha residência,Pública
758,Gratuidade,Pública
759,Qualidade/reputação,Pública
760,Gratuidade,Pública
761,Qualidade/reputação,Pública
762,Gratuidade,Pública
763,Gratuidade,Pública
764,Qualidade/reputação,Pública
765,Gratuidade,Pública
766,Gratuidade,Pública
767,Gratuidade,Pública
768,Qualidade/reputação,Pública
769,Qualidade/reputação,Pública
770,Gratuidade,Pública
771,Gratuidade,Pública
772,Gratuidade,Pública
773,Gratuidade,Pública
774,Qualidade/reputação,Pública
775,Gratuidade,Pública
776,Gratuidade,Pública
777,Qualidade/reputação,Pública
778,Gratuidade,Pública
779,Qualidade/reputação,Pública
780,Gratuidade,Pública
781,Gratuidade,Pública
782,Gratuidade,Pública
783,Gratuidade,Pública
784,Gratuidade,Pública
785,Gratuidade,Pública
786,Gratuidade,Pública
787,Gratuidade,Pública
788,Gratuidade,Pública
789,Gratuidade,Pública
790,Gratuidade,Pública
791,Qualidade/reputação,Pública
792,Qualidade/reputação,Pública
793,Qualidade/reputação,Pública
794,Gratuidade,Pública
795,Qualidade/reputação,Pública
796,Gratuidade,Pública
797,Qualidade/reputação,Pública
798,Qualidade/reputação,Pública
799,Qualidade/reputação,Pública
800,NA,Pública
802,Qualidade/reputação,Pública
803,Qualidade/reputação,Pública
804,Qualidade/reputação,Pública
805,Qualidade/reputação,Pública
806,Qualidade/reputação,Pública
807,Proximidade do meu trabalho,Pública
808,Qualidade/reputação,Pública
809,Gratuidade,Pública
810,Gratuidade,Pública
811,Qualidade/reputação,Pública
812,NA,Pública
813,Gratuidade,Pública
814,Gratuidade,Pública
815,Gratuidade,Pública
816,Gratuidade,Pública
817,Gratuidade,Pública
818,Facilidade de acesso,Pública
819,Gratuidade,Pública
820,Outro motivo,Pública
821,Gratuidade,Pública
822,Gratuidade,Pública
823,Qualidade/reputação,Pública
824,Proximidade da minha residência,Pública
825,Gratuidade,Pública
826,Gratuidade,Pública
827,Gratuidade,Pública
828,Gratuidade,Pública
829,Qualidade/reputação,Pública
830,Foi a única onde tive aprovação,Pública
832,Gratuidade,Pública
833,Qualidade/reputação,Pública
834,Qualidade/reputação,Pública
835,Gratuidade,Pública
836,Gratuidade,Pública
837,NA,Pública
838,Qualidade/reputação,Pública
840,Gratuidade,Pública
841,Gratuidade,Pública
842,Gratuidade,Pública
843,Gratuidade,Pública
844,Gratuidade,Pública
845,Outro motivo,Pública
846,Qualidade/reputação,Pública
847,Gratuidade,Pública
848,Gratuidade,Pública
849,Qualidade/reputação,Pública
850,Gratuidade,Pública
851,Outro motivo,Pública
852,Gratuidade,Pública
853,Qualidade/reputação,Pública
854,Qualidade/reputação,Pública
855,Gratuidade,Pública
856,Qualidade/reputação,Pública
857,Qualidade/reputação,Pública
861,Qualidade/reputação,Pública
862,Gratuidade,Pública
864,Gratuidade,Pública
865,Gratuidade,Pública
866,Gratuidade,Pública
867,Gratuidade,Pública
870,Gratuidade,Pública
871,Gratuidade,Pública
878,Gratuidade,Pública
882,Qualidade/reputação,Pública
883,Gratuidade,Pública
884,Gratuidade,Pública
885,Gratuidade,Pública
886,Outro motivo,Pública
887,Qualidade/reputação,Pública
888,Qualidade/reputação,Pública
889,Gratuidade,Pública
890,Gratuidade,Pública
891,Gratuidade,Pública
892,Qualidade/reputação,Pública
893,Gratuidade,Pública
894,Proximidade da minha residência,Pública
895,Proximidade da minha residência,Pública
896,Gratuidade,Pública
897,Gratuidade,Pública
898,Gratuidade,Pública
899,Gratuidade,Pública
900,Gratuidade,Pública
901,Gratuidade,Pública
902,Facilidade de acesso,Pública
903,Qualidade/reputação,Pública
904,Gratuidade,Pública
905,Outro motivo,Pública
906,Gratuidade,Pública
907,Qualidade/reputação,Pública
908,Gratuidade,Pública
909,Gratuidade,Pública
910,Qualidade/reputação,Pública
911,Outro motivo,Pública
912,Gratuidade,Pública
913,Gratuidade,Pública
914,Facilidade de acesso,Pública
915,Proximidade da minha residência,Pública
916,Gratuidade,Pública
917,Gratuidade,Pública
918,Qualidade/reputação,Pública
919,Gratuidade,Pública
920,Gratuidade,Pública
921,Qualidade/reputação,Pública
922,Outro motivo,Pública
923,Facilidade de acesso,Pública
924,Gratuidade,Pública
925,Gratuidade,Pública
926,Gratuidade,Pública
927,Gratuidade,Pública
928,Gratuidade,Pública
929,Qualidade/reputação,Pública
930,Gratuidade,Pública
931,Gratuidade,Pública
932,Qualidade/reputação,Pública
933,Proximidade da minha residência,Pública
934,Gratuidade,Pública
935,Facilidade de acesso,Pública
936,Gratuidade,Pública
937,Qualidade/reputação,Pública
938,Gratuidade,Pública
939,Gratuidade,Pública
940,Outro motivo,Pública
941,Outro motivo,Pública
942,Gratuidade,Pública
943,Qualidade/reputação,Pública
944,Gratuidade,Pública
945,Qualidade/reputação,Pública
946,Qualidade/reputação,Pública
947,Gratuidade,Pública
948,Gratuidade,Pública
949,Gratuidade,Pública
950,Qualidade/reputação,Pública
951,Gratuidade,Pública
952,Gratuidade,Pública
953,Gratuidade,Pública
954,Gratuidade,Pública
955,Gratuidade,Pública
956,Qualidade/reputação,Pública
957,Gratuidade,Pública
958,Qualidade/reputação,Pública
959,Qualidade/reputação,Pública
960,Gratuidade,Pública
962,Qualidade/reputação,Pública
963,Qualidade/reputação,Pública
964,Gratuidade,Pública
965,Gratuidade,Pública
966,Gratuidade,Pública
967,Gratuidade,Pública
968,Qualidade/reputação,Pública
970,Gratuidade,Pública
971,Gratuidade,Pública
973,Gratuidade,Pública
974,Gratuidade,Pública
975,Gratuidade,Pública
976,Gratuidade,Pública
977,Facilidade de acesso,Pública
978,Gratuidade,Pública
979,Qualidade/reputação,Pública
980,Gratuidade,Pública
981,Gratuidade,Pública
982,Gratuidade,Pública
983,Qualidade/reputação,Pública
984,Qualidade/reputação,Pública
985,Gratuidade,Pública
986,Gratuidade,Pública
987,Gratuidade,Pública
988,Gratuidade,Pública
989,Qualidade/reputação,Pública
990,Gratuidade,Pública
991,Qualidade/reputação,Pública
992,Gratuidade,Pública
993,Gratuidade,Pública
994,Gratuidade,Pública
995,Gratuidade,Pública
996,Qualidade/reputação,Pública
999,Qualidade/reputação,Pública
1010,Gratuidade,Pública
1011,Gratuidade,Pública
1012,Proximidade da minha residência,Pública
1013,Gratuidade,Pública
1014,Proximidade da minha residência,Pública
1015,Foi a única onde tive aprovação,Pública
1018,Facilidade de acesso,Pública
1021,Facilidade de acesso,Pública
1024,NA,Pública
1025,Gratuidade,Pública
1030,Gratuidade,Pública
1031,Foi a única onde tive aprovação,Pública
1032,Proximidade da minha residência,Pública
1033,Proximidade da minha residência,Pública
1034,Proximidade da minha residência,Pública
1036,Proximidade da minha residência,Pública
1041,Gratuidade,Pública
1043,Proximidade da minha residência,Pública
1044,Gratuidade,Pública
1049,Proximidade da minha residência,Pública
1058,Gratuidade,Pública
1059,NA,Pública
1060,Gratuidade,Pública
1061,Facilidade de acesso,Pública
1062,Proximidade da minha residência,Pública
1063,Gratuidade,Pública
1065,Outro motivo,Pública
1066,Gratuidade,Pública
1067,Proximidade da minha residência,Pública
1068,Foi a única onde tive aprovação,Pública
1070,Qualidade/reputação,Pública
1071,Gratuidade,Pública
1072,Proximidade da minha residência,Pública
1073,Gratuidade,Pública
1076,Gratuidade,Pública
1078,Proximidade da minha residência,Pública
1080,Gratuidade,Pública
1081,Gratuidade,Pública
1082,Proximidade da minha residência,Pública
1083,Gratuidade,Pública
1084,Gratuidade,Pública
1085,Gratuidade,Pública
1086,Gratuidade,Pública
1087,Proximidade da minha residência,Pública
1088,Proximidade da minha residência,Pública
1089,Gratuidade,Pública
1091,Proximidade da minha residência,Pública
1092,Proximidade da minha residência,Pública
1093,Proximidade da minha residência,Pública
1095,Gratuidade,Pública
1096,Proximidade da minha residência,Pública
1097,Gratuidade,Pública
1098,Gratuidade,Pública
1099,Gratuidade,Pública
1100,Proximidade da minha residência,Pública
1101,Proximidade da minha residência,Pública
1102,Gratuidade,Pública
1103,Gratuidade,Pública
1104,Qualidade/reputação,Pública
1105,Qualidade/reputação,Pública
1106,Proximidade da minha residência,Pública
1107,Gratuidade,Pública
1108,Gratuidade,Pública
1109,Gratuidade,Pública
1111,Qualidade/reputação,Pública
1114,Gratuidade,Pública
1115,Facilidade de acesso,Pública
1116,Gratuidade,Pública
1117,Gratuidade,Pública
1119,Outro motivo,Pública
1121,Proximidade da minha residência,Pública
1122,Proximidade da minha residência,Pública
1123,Qualidade/reputação,Pública
1125,Gratuidade,Pública
1126,Proximidade da minha residência,Pública
1128,Gratuidade,Pública
1130,Qualidade/reputação,Pública
1131,Proximidade da minha residência,Pública
1132,Gratuidade,Pública
1134,Proximidade da minha residência,Pública
1135,Proximidade da minha residência,Pública
1137,NA,Pública
1138,Proximidade da minha residência,Pública
1139,Qualidade/reputação,Pública
1141,Facilidade de acesso,Pública
1142,Proximidade da minha residência,Pública
1143,Gratuidade,Pública
1144,Proximidade da minha residência,Pública
1145,NA,Pública
1146,Proximidade da minha residência,Pública
1147,Gratuidade,Pública
1148,Facilidade de acesso,Pública
1150,Gratuidade,Pública
1151,Gratuidade,Pública
1153,Gratuidade,Pública
1154,Qualidade/reputação,Pública
1155,Proximidade da minha residência,Pública
1156,Gratuidade,Pública
