id,Qual a principal razão para você ter escolhido a sua instituição de educação superior?,Categoria
4373,Proximidade da minha residência,Pública
4374,Qualidade/reputação,Pública
4375,Qualidade/reputação,Pública
4377,Qualidade/reputação,Pública
4378,Proximidade da minha residência,Pública
4379,Proximidade da minha residência,Pública
4380,Qualidade/reputação,Pública
4381,Qualidade/reputação,Pública
4382,Gratuidade,Pública
4383,Gratuidade,Pública
4384,Outro motivo,Pública
4385,Gratuidade,Pública
4386,NA,Pública
4387,Gratuidade,Pública
4388,Qualidade/reputação,Pública
4389,Gratuidade,Pública
4390,Gratuidade,Pública
4391,Proximidade da minha residência,Pública
4392,Gratuidade,Pública
4393,Gratuidade,Pública
4394,Gratuidade,Pública
4395,Proximidade da minha residência,Pública
4396,Outro motivo,Pública
4397,Gratuidade,Pública
4398,Qualidade/reputação,Pública
4399,Outro motivo,Pública
4400,Qualidade/reputação,Pública
4401,Qualidade/reputação,Pública
4402,Gratuidade,Pública
4403,Outro motivo,Pública
4404,Gratuidade,Pública
4405,Outro motivo,Pública
4407,Qualidade/reputação,Pública
4408,Qualidade/reputação,Pública
4409,Qualidade/reputação,Pública
4410,Gratuidade,Pública
4411,Gratuidade,Pública
4412,Gratuidade,Pública
4413,Gratuidade,Pública
4415,Qualidade/reputação,Pública
4416,Gratuidade,Pública
4417,Gratuidade,Pública
4418,Outro motivo,Pública
4419,Gratuidade,Pública
4420,Gratuidade,Pública
4421,Proximidade da minha residência,Pública
4422,Gratuidade,Pública
4423,Qualidade/reputação,Pública
4424,Gratuidade,Pública
4425,Qualidade/reputação,Pública
4426,Gratuidade,Pública
4427,Gratuidade,Pública
4428,Proximidade da minha residência,Pública
4429,Qualidade/reputação,Pública
4430,Gratuidade,Pública
4431,Gratuidade,Pública
4432,Gratuidade,Pública
4434,Qualidade/reputação,Pública
4435,Gratuidade,Pública
4436,Proximidade da minha residência,Pública
4437,Qualidade/reputação,Pública
4438,Gratuidade,Pública
4439,Gratuidade,Pública
4440,Qualidade/reputação,Pública
4441,Facilidade de acesso,Pública
4442,Gratuidade,Pública
4443,Qualidade/reputação,Pública
4444,Qualidade/reputação,Pública
4445,Gratuidade,Pública
4446,Gratuidade,Pública
4447,Qualidade/reputação,Pública
4448,Gratuidade,Pública
4449,Gratuidade,Pública
4450,Gratuidade,Pública
4451,Qualidade/reputação,Pública
4452,Gratuidade,Pública
4453,Gratuidade,Pública
4454,Gratuidade,Pública
4455,Gratuidade,Pública
4456,Qualidade/reputação,Pública
4457,Proximidade da minha residência,Pública
4458,Gratuidade,Pública
4459,Proximidade da minha residência,Pública
4460,Gratuidade,Pública
4461,Qualidade/reputação,Pública
4462,Qualidade/reputação,Pública
4463,Outro motivo,Pública
4464,Qualidade/reputação,Pública
4466,Qualidade/reputação,Pública
4467,Gratuidade,Pública
4468,Proximidade da minha residência,Pública
4469,Gratuidade,Pública
4470,NA,Pública
4471,Proximidade da minha residência,Pública
4472,Gratuidade,Pública
4473,Qualidade/reputação,Pública
4474,Qualidade/reputação,Pública
4475,NA,Pública
4476,Gratuidade,Pública
4477,NA,Pública
4478,Gratuidade,Pública
4479,Qualidade/reputação,Pública
4482,Outro motivo,Pública
4483,Proximidade da minha residência,Pública
4484,Gratuidade,Pública
4485,Gratuidade,Pública
4486,Gratuidade,Pública
4487,Qualidade/reputação,Pública
4488,Proximidade da minha residência,Pública
4489,Qualidade/reputação,Pública
4490,Qualidade/reputação,Pública
4491,Gratuidade,Pública
4492,Qualidade/reputação,Pública
4493,Gratuidade,Pública
4494,Proximidade da minha residência,Pública
4495,Gratuidade,Pública
4496,Gratuidade,Pública
4497,Qualidade/reputação,Pública
4498,Gratuidade,Pública
4499,Proximidade da minha residência,Pública
4500,Proximidade da minha residência,Pública
4501,Proximidade da minha residência,Pública
4502,Gratuidade,Pública
4503,Gratuidade,Pública
4504,Qualidade/reputação,Pública
4505,Gratuidade,Pública
4506,Gratuidade,Pública
4507,Gratuidade,Pública
4508,Proximidade da minha residência,Pública
4509,Gratuidade,Pública
4510,Gratuidade,Pública
4511,Qualidade/reputação,Pública
4512,Proximidade da minha residência,Pública
4514,Gratuidade,Pública
4515,Proximidade da minha residência,Pública
4516,Facilidade de acesso,Pública
4517,Gratuidade,Pública
4518,Qualidade/reputação,Pública
4519,Gratuidade,Pública
4520,Proximidade da minha residência,Pública
4521,Qualidade/reputação,Pública
4522,Outro motivo,Pública
4524,Proximidade da minha residência,Pública
4525,Gratuidade,Pública
4526,Qualidade/reputação,Pública
4527,Proximidade da minha residência,Pública
4528,Qualidade/reputação,Pública
4529,Gratuidade,Pública
4530,Gratuidade,Pública
4531,Gratuidade,Pública
4532,Qualidade/reputação,Pública
4533,Foi a única onde tive aprovação,Pública
4534,Gratuidade,Pública
4535,Gratuidade,Pública
4536,Gratuidade,Pública
4537,Proximidade do meu trabalho,Pública
4538,Proximidade da minha residência,Pública
4539,Qualidade/reputação,Pública
4540,Proximidade da minha residência,Pública
4541,Outro motivo,Pública
4542,Proximidade da minha residência,Pública
4543,Gratuidade,Pública
4544,Facilidade de acesso,Pública
4545,Gratuidade,Pública
4546,Gratuidade,Pública
4547,Gratuidade,Pública
4548,Gratuidade,Pública
4549,Gratuidade,Pública
4550,Qualidade/reputação,Pública
4551,Proximidade da minha residência,Pública
4552,Gratuidade,Pública
4553,Qualidade/reputação,Pública
4554,Proximidade da minha residência,Pública
4555,Gratuidade,Pública
4556,Gratuidade,Pública
4557,Proximidade da minha residência,Pública
4558,Proximidade da minha residência,Pública
4559,Gratuidade,Pública
4560,Proximidade da minha residência,Pública
4561,Outro motivo,Pública
4562,Proximidade da minha residência,Pública
4563,Proximidade da minha residência,Pública
4564,Gratuidade,Pública
4565,Foi a única onde tive aprovação,Pública
4566,Qualidade/reputação,Pública
4567,Facilidade de acesso,Pública
4568,Qualidade/reputação,Pública
4569,Gratuidade,Pública
4570,Gratuidade,Pública
4571,Gratuidade,Pública
4572,Gratuidade,Pública
4573,Proximidade da minha residência,Pública
4574,Gratuidade,Pública
4575,Outro motivo,Pública
4576,Gratuidade,Pública
4579,Gratuidade,Pública
4580,Outro motivo,Pública
4582,Gratuidade,Pública
4583,Gratuidade,Pública
4584,Gratuidade,Pública
4585,Proximidade da minha residência,Pública
4586,Proximidade da minha residência,Pública
4587,Gratuidade,Pública
4588,Qualidade/reputação,Pública
4589,Facilidade de acesso,Pública
4590,Proximidade da minha residência,Pública
4592,Facilidade de acesso,Pública
4593,Proximidade da minha residência,Pública
4594,Qualidade/reputação,Pública
4595,Gratuidade,Pública
4596,Qualidade/reputação,Pública
4597,Gratuidade,Pública
4598,Gratuidade,Pública
4600,Gratuidade,Pública
4601,Gratuidade,Pública
4602,Proximidade da minha residência,Pública
4603,Gratuidade,Pública
4604,Gratuidade,Pública
4605,Qualidade/reputação,Pública
4606,Qualidade/reputação,Pública
4607,Proximidade da minha residência,Pública
4608,Outro motivo,Pública
4609,Proximidade da minha residência,Pública
4610,Qualidade/reputação,Pública
4611,Proximidade da minha residência,Pública
4612,Gratuidade,Pública
4613,Gratuidade,Pública
4614,Proximidade da minha residência,Pública
4615,Proximidade da minha residência,Pública
4616,Gratuidade,Pública
4617,Gratuidade,Pública
4618,Proximidade da minha residência,Pública
4619,Proximidade da minha residência,Pública
4620,Gratuidade,Pública
4621,Qualidade/reputação,Pública
4622,Gratuidade,Pública
4623,Proximidade da minha residência,Pública
4624,Gratuidade,Pública
4625,Proximidade da minha residência,Pública
4626,Gratuidade,Pública
4627,Gratuidade,Pública
4628,Gratuidade,Pública
4629,Proximidade da minha residência,Pública
4630,Proximidade da minha residência,Pública
4631,Proximidade da minha residência,Pública
4632,Gratuidade,Pública
4633,Facilidade de acesso,Pública
4634,Gratuidade,Pública
4635,Proximidade da minha residência,Pública
4636,Proximidade da minha residência,Pública
4637,Proximidade da minha residência,Pública
4638,Facilidade de acesso,Pública
4639,Proximidade da minha residência,Pública
4641,Facilidade de acesso,Pública
4642,Gratuidade,Pública
4643,Gratuidade,Pública
4644,Proximidade da minha residência,Pública
4645,Proximidade da minha residência,Pública
4646,Proximidade da minha residência,Pública
4647,Gratuidade,Pública
4648,Gratuidade,Pública
4649,Outro motivo,Pública
4650,Gratuidade,Pública
4651,Gratuidade,Pública
4652,Qualidade/reputação,Pública
4653,Facilidade de acesso,Pública
4654,Qualidade/reputação,Pública
4655,Qualidade/reputação,Pública
4656,Gratuidade,Pública
4657,Gratuidade,Pública
4658,Qualidade/reputação,Pública
4659,Qualidade/reputação,Pública
4660,Qualidade/reputação,Pública
4661,Outro motivo,Pública
4663,Qualidade/reputação,Pública
4664,Qualidade/reputação,Pública
4665,Qualidade/reputação,Pública
4666,Qualidade/reputação,Pública
4667,Qualidade/reputação,Pública
4668,Qualidade/reputação,Pública
4669,Gratuidade,Pública
4670,Qualidade/reputação,Pública
4671,Gratuidade,Pública
4672,Qualidade/reputação,Pública
4673,Qualidade/reputação,Pública
4674,Qualidade/reputação,Pública
4675,Outro motivo,Pública
4677,Outro motivo,Pública
4678,Gratuidade,Pública
4679,Qualidade/reputação,Pública
4680,Outro motivo,Pública
4681,Gratuidade,Pública
4682,Proximidade do meu trabalho,Pública
4683,Outro motivo,Pública
4684,Qualidade/reputação,Pública
4685,Qualidade/reputação,Pública
4686,Gratuidade,Pública
4687,Qualidade/reputação,Pública
4688,Qualidade/reputação,Pública
4689,Qualidade/reputação,Pública
4690,Qualidade/reputação,Pública
4691,Gratuidade,Pública
4692,Foi a única onde tive aprovação,Pública
4693,Gratuidade,Pública
4694,Gratuidade,Pública
4696,Qualidade/reputação,Pública
4697,Gratuidade,Pública
4698,Gratuidade,Pública
4699,Gratuidade,Pública
4700,Gratuidade,Pública
4701,Gratuidade,Pública
4702,Proximidade da minha residência,Pública
4703,Gratuidade,Pública
4705,Qualidade/reputação,Pública
4706,Qualidade/reputação,Pública
4707,Gratuidade,Pública
4708,Proximidade da minha residência,Pública
4710,Gratuidade,Pública
4711,Qualidade/reputação,Pública
4712,Gratuidade,Pública
4714,Gratuidade,Pública
4715,Gratuidade,Pública
4716,Gratuidade,Pública
4717,Qualidade/reputação,Pública
4718,Facilidade de acesso,Pública
4719,Proximidade da minha residência,Pública
4720,Gratuidade,Pública
4721,Gratuidade,Pública
4722,Gratuidade,Pública
4723,Qualidade/reputação,Pública
4724,Outro motivo,Pública
4725,Gratuidade,Pública
4726,Qualidade/reputação,Pública
4727,Gratuidade,Pública
4728,Gratuidade,Pública
4729,Gratuidade,Pública
4730,Gratuidade,Pública
4731,Gratuidade,Pública
4732,Proximidade da minha residência,Pública
4733,Qualidade/reputação,Pública
4734,Facilidade de acesso,Pública
4735,Facilidade de acesso,Pública
4736,Gratuidade,Pública
4737,Gratuidade,Pública
4738,Proximidade da minha residência,Pública
4739,Gratuidade,Pública
4740,Gratuidade,Pública
4741,Gratuidade,Pública
4742,Qualidade/reputação,Pública
4743,Gratuidade,Pública
4744,Gratuidade,Pública
4746,Facilidade de acesso,Pública
4747,Gratuidade,Pública
4748,Qualidade/reputação,Pública
4749,Gratuidade,Pública
4750,Proximidade da minha residência,Pública
4751,Possibilidade de ter bolsa de estudo,Pública
4752,Gratuidade,Pública
4753,Qualidade/reputação,Pública
4754,Gratuidade,Pública
4755,Gratuidade,Pública
4756,Gratuidade,Pública
4757,Qualidade/reputação,Pública
4758,Facilidade de acesso,Pública
4759,Proximidade da minha residência,Pública
4760,Gratuidade,Pública
4761,Gratuidade,Pública
4762,Gratuidade,Pública
4763,Qualidade/reputação,Pública
4764,Qualidade/reputação,Pública
4765,Qualidade/reputação,Pública
4766,Gratuidade,Pública
4767,Qualidade/reputação,Pública
4769,NA,Pública
4771,Qualidade/reputação,Pública
4772,Gratuidade,Pública
4773,Qualidade/reputação,Pública
4774,Qualidade/reputação,Pública
4775,Gratuidade,Pública
4776,Proximidade da minha residência,Pública
4778,Qualidade/reputação,Pública
4779,Gratuidade,Pública
4780,NA,Pública
4781,Qualidade/reputação,Pública
4782,Gratuidade,Pública
4783,Qualidade/reputação,Pública
4784,Qualidade/reputação,Pública
4785,Qualidade/reputação,Pública
4786,Outro motivo,Pública
4787,Gratuidade,Pública
4788,Gratuidade,Pública
4789,Gratuidade,Pública
4790,Proximidade da minha residência,Pública
4791,Qualidade/reputação,Pública
4792,Gratuidade,Pública
4793,Qualidade/reputação,Pública
4794,Gratuidade,Pública
4795,Qualidade/reputação,Pública
4796,Qualidade/reputação,Pública
4797,Gratuidade,Pública
4798,Gratuidade,Pública
4799,Qualidade/reputação,Pública
4800,Gratuidade,Pública
4801,Gratuidade,Pública
4802,Gratuidade,Pública
4805,Outro motivo,Pública
4806,Qualidade/reputação,Pública
4807,Gratuidade,Pública
4808,Qualidade/reputação,Pública
4809,Gratuidade,Pública
4810,Qualidade/reputação,Pública
4811,Gratuidade,Pública
4812,Gratuidade,Pública
4813,Qualidade/reputação,Pública
4814,Qualidade/reputação,Pública
4815,Gratuidade,Pública
4816,Qualidade/reputação,Pública
4817,Gratuidade,Pública
4818,Gratuidade,Pública
4819,Qualidade/reputação,Pública
4820,Gratuidade,Pública
4821,Qualidade/reputação,Pública
4822,Gratuidade,Pública
4823,Gratuidade,Pública
4824,NA,Pública
4825,Gratuidade,Pública
4826,Qualidade/reputação,Pública
4827,Qualidade/reputação,Pública
4828,Gratuidade,Pública
4829,Qualidade/reputação,Pública
4830,Qualidade/reputação,Pública
4831,Gratuidade,Pública
4832,Qualidade/reputação,Pública
4833,Gratuidade,Pública
4835,Gratuidade,Pública
4836,Gratuidade,Pública
4837,Qualidade/reputação,Pública
4838,Gratuidade,Pública
4840,Qualidade/reputação,Pública
4841,Gratuidade,Pública
4842,Gratuidade,Pública
4843,Facilidade de acesso,Pública
4844,Qualidade/reputação,Pública
4845,Gratuidade,Pública
4846,Qualidade/reputação,Pública
4847,Gratuidade,Pública
4848,Qualidade/reputação,Pública
4849,Qualidade/reputação,Pública
4850,Gratuidade,Pública
4851,Gratuidade,Pública
4852,Gratuidade,Pública
4853,Gratuidade,Pública
4854,Qualidade/reputação,Pública
4855,Proximidade da minha residência,Pública
4856,Qualidade/reputação,Pública
4857,Gratuidade,Pública
4858,Outro motivo,Pública
4859,Qualidade/reputação,Pública
4860,Qualidade/reputação,Pública
4861,Gratuidade,Pública
4862,Qualidade/reputação,Pública
4864,Gratuidade,Pública
4865,Gratuidade,Pública
4866,Gratuidade,Pública
4867,Gratuidade,Pública
4868,Qualidade/reputação,Pública
4869,Qualidade/reputação,Pública
4870,Qualidade/reputação,Pública
4872,Gratuidade,Pública
4873,Gratuidade,Pública
4874,Gratuidade,Pública
4875,Qualidade/reputação,Pública
4876,Facilidade de acesso,Pública
4877,Gratuidade,Pública
4879,Gratuidade,Pública
4881,Gratuidade,Pública
4882,Qualidade/reputação,Pública
4883,Qualidade/reputação,Pública
4884,Qualidade/reputação,Pública
4885,Gratuidade,Pública
4887,Gratuidade,Pública
4888,Gratuidade,Pública
4889,Gratuidade,Pública
4890,Gratuidade,Pública
4891,Gratuidade,Pública
4892,Gratuidade,Pública
4893,Qualidade/reputação,Pública
4894,Qualidade/reputação,Pública
4897,Gratuidade,Pública
4898,Qualidade/reputação,Pública
4899,Qualidade/reputação,Pública
4900,Qualidade/reputação,Pública
4901,Gratuidade,Pública
4902,Qualidade/reputação,Pública
4903,Qualidade/reputação,Pública
4904,Outro motivo,Pública
4905,Gratuidade,Pública
4906,Gratuidade,Pública
4907,Qualidade/reputação,Pública
4908,Gratuidade,Pública
4910,Qualidade/reputação,Pública
4911,Gratuidade,Pública
4913,Gratuidade,Pública
4914,Qualidade/reputação,Pública
4916,Gratuidade,Pública
4917,Gratuidade,Pública
4918,Outro motivo,Pública
4919,Qualidade/reputação,Pública
4920,Qualidade/reputação,Pública
4921,Gratuidade,Pública
4922,Qualidade/reputação,Pública
4924,NA,Pública
4926,Qualidade/reputação,Pública
4927,Gratuidade,Pública
4928,NA,Pública
4930,Gratuidade,Pública
4931,Qualidade/reputação,Pública
4936,Qualidade/reputação,Pública
4939,Gratuidade,Pública
4943,Gratuidade,Pública
4944,Gratuidade,Pública
4952,Qualidade/reputação,Pública
4953,Qualidade/reputação,Pública
4954,Qualidade/reputação,Pública
4955,NA,Pública
4956,Gratuidade,Pública
4957,Qualidade/reputação,Pública
4958,Gratuidade,Pública
4959,Qualidade/reputação,Pública
4960,Gratuidade,Pública
4961,Qualidade/reputação,Pública
4962,Gratuidade,Pública
4963,Gratuidade,Pública
4964,Gratuidade,Pública
4965,Gratuidade,Pública
4967,Qualidade/reputação,Pública
4968,Qualidade/reputação,Pública
4970,Gratuidade,Pública
4972,Qualidade/reputação,Pública
4973,Gratuidade,Pública
4974,Qualidade/reputação,Pública
4975,Qualidade/reputação,Pública
4976,Qualidade/reputação,Pública
4977,Gratuidade,Pública
4978,Qualidade/reputação,Pública
4979,Qualidade/reputação,Pública
4980,Gratuidade,Pública
4981,Gratuidade,Pública
4982,Gratuidade,Pública
4983,Qualidade/reputação,Pública
4984,Qualidade/reputação,Pública
4985,Gratuidade,Pública
4986,Qualidade/reputação,Pública
4987,Qualidade/reputação,Pública
4988,Gratuidade,Pública
4989,Qualidade/reputação,Pública
4990,Gratuidade,Pública
4991,Qualidade/reputação,Pública
4992,Gratuidade,Pública
4993,Qualidade/reputação,Pública
4994,Qualidade/reputação,Pública
4995,Gratuidade,Pública
4996,Gratuidade,Pública
4997,Gratuidade,Pública
4998,Qualidade/reputação,Pública
4999,Qualidade/reputação,Pública
5000,Gratuidade,Pública
5001,Gratuidade,Pública
5002,Gratuidade,Pública
5003,Qualidade/reputação,Pública
5004,Gratuidade,Pública
5005,Gratuidade,Pública
5006,Qualidade/reputação,Pública
5007,Gratuidade,Pública
5009,Outro motivo,Pública
5011,Qualidade/reputação,Pública
5012,Gratuidade,Pública
5013,Proximidade da minha residência,Pública
5014,Qualidade/reputação,Pública
5015,Qualidade/reputação,Pública
5016,Gratuidade,Pública
5017,Qualidade/reputação,Pública
5018,NA,Pública
5019,Qualidade/reputação,Pública
5020,NA,Pública
5021,Gratuidade,Pública
5026,Gratuidade,Pública
5029,Gratuidade,Pública
5030,NA,Pública
5031,Qualidade/reputação,Pública
5033,Gratuidade,Pública
5034,Gratuidade,Pública
5038,NA,Pública
5041,Gratuidade,Pública
5042,Gratuidade,Pública
5043,Qualidade/reputação,Pública
5045,Qualidade/reputação,Pública
5046,Proximidade da minha residência,Pública
5047,Gratuidade,Pública
5049,Gratuidade,Pública
5050,Facilidade de acesso,Pública
5051,Gratuidade,Pública
5052,Gratuidade,Pública
5053,Qualidade/reputação,Pública
5054,Outro motivo,Pública
5055,Proximidade da minha residência,Pública
5056,Gratuidade,Pública
5057,Foi a única onde tive aprovação,Pública
5058,Gratuidade,Pública
5059,Gratuidade,Pública
5060,Gratuidade,Pública
5061,Facilidade de acesso,Pública
5062,Gratuidade,Pública
5063,Foi a única onde tive aprovação,Pública
5064,Gratuidade,Pública
5065,Proximidade da minha residência,Pública
5067,Gratuidade,Pública
5068,Foi a única onde tive aprovação,Pública
5069,Qualidade/reputação,Pública
5070,Gratuidade,Pública
5071,Gratuidade,Pública
5072,Gratuidade,Pública
5073,Proximidade da minha residência,Pública
5074,Gratuidade,Pública
5075,Qualidade/reputação,Pública
5076,Gratuidade,Pública
5077,Outro motivo,Pública
5078,Qualidade/reputação,Pública
5079,Gratuidade,Pública
5080,Qualidade/reputação,Pública
5081,Foi a única onde tive aprovação,Pública
5082,Proximidade da minha residência,Pública
5083,Gratuidade,Pública
5084,Foi a única onde tive aprovação,Pública
5085,Gratuidade,Pública
5086,Gratuidade,Pública
5087,Proximidade da minha residência,Pública
5088,Gratuidade,Pública
5089,Gratuidade,Pública
5090,Gratuidade,Pública
5091,Gratuidade,Pública
5092,Qualidade/reputação,Pública
5093,Qualidade/reputação,Pública
5094,Gratuidade,Pública
5095,Qualidade/reputação,Pública
5096,Gratuidade,Pública
5097,Gratuidade,Pública
5098,Proximidade da minha residência,Pública
5099,Proximidade da minha residência,Pública
5100,Proximidade da minha residência,Pública
5102,Gratuidade,Pública
5104,Gratuidade,Pública
5105,Outro motivo,Pública
5106,Gratuidade,Pública
5107,Gratuidade,Pública
5109,Qualidade/reputação,Pública
5110,Facilidade de acesso,Pública
5111,Qualidade/reputação,Pública
5112,Proximidade da minha residência,Pública
5113,Gratuidade,Pública
5114,Gratuidade,Pública
5115,Qualidade/reputação,Pública
5116,Proximidade da minha residência,Pública
5117,Gratuidade,Pública
5118,Qualidade/reputação,Pública
5119,Proximidade da minha residência,Pública
5120,Gratuidade,Pública
5121,Gratuidade,Pública
5122,Gratuidade,Pública
5123,Qualidade/reputação,Pública
5124,Gratuidade,Pública
5125,Gratuidade,Pública
5126,Gratuidade,Pública
5132,Facilidade de acesso,Pública
5134,Gratuidade,Pública
5135,Qualidade/reputação,Pública
5137,Gratuidade,Pública
5138,Gratuidade,Pública
5145,Qualidade/reputação,Pública
5147,Qualidade/reputação,Pública
5150,Facilidade de acesso,Pública
5159,Gratuidade,Pública
5160,Gratuidade,Pública
5170,Foi a única onde tive aprovação,Pública
5173,Gratuidade,Pública
5179,Facilidade de acesso,Pública
5182,Gratuidade,Pública
5185,Gratuidade,Pública
5193,Proximidade da minha residência,Pública
5194,Foi a única onde tive aprovação,Pública
5197,Proximidade da minha residência,Pública
5199,Gratuidade,Pública
5200,Gratuidade,Pública
5201,Gratuidade,Pública
5202,Qualidade/reputação,Pública
5204,Facilidade de acesso,Pública
5205,Gratuidade,Pública
5206,Gratuidade,Pública
5207,Gratuidade,Pública
5208,Qualidade/reputação,Pública
5209,Gratuidade,Pública
5210,Gratuidade,Pública
5211,Qualidade/reputação,Pública
5212,Gratuidade,Pública
5213,Gratuidade,Pública
5215,Gratuidade,Pública
5216,Gratuidade,Pública
5218,NA,Pública
5219,Qualidade/reputação,Pública
5221,Gratuidade,Pública
5222,Proximidade do meu trabalho,Pública
5224,Facilidade de acesso,Pública
5225,Gratuidade,Pública
5226,Qualidade/reputação,Pública
5227,Facilidade de acesso,Pública
5229,Gratuidade,Pública
5230,Gratuidade,Pública
5231,Facilidade de acesso,Pública
5232,Facilidade de acesso,Pública
5233,Gratuidade,Pública
5234,NA,Pública
5236,Qualidade/reputação,Pública
5237,Gratuidade,Pública
5238,Gratuidade,Pública
5239,Gratuidade,Pública
5241,Gratuidade,Pública
5242,Qualidade/reputação,Pública
5243,Foi a única onde tive aprovação,Pública
5244,Gratuidade,Pública
5245,Proximidade da minha residência,Pública
5247,Qualidade/reputação,Pública
5249,Gratuidade,Pública
5252,Outro motivo,Pública
5253,Gratuidade,Pública
5254,Qualidade/reputação,Pública
5256,Qualidade/reputação,Pública
5257,Gratuidade,Pública
5259,Gratuidade,Pública
5260,Qualidade/reputação,Pública
5261,Facilidade de acesso,Pública
5262,Gratuidade,Pública
5263,NA,Pública
5267,Facilidade de acesso,Pública
5271,Gratuidade,Pública
5272,Gratuidade,Pública
5273,NA,Pública
5274,Qualidade/reputação,Pública
5275,Qualidade/reputação,Pública
5277,Gratuidade,Pública
5278,Facilidade de acesso,Pública
5279,Gratuidade,Pública
5281,Facilidade de acesso,Pública
5282,Gratuidade,Pública
5285,Gratuidade,Pública
5287,Gratuidade,Pública
5289,Outro motivo,Pública
5290,Gratuidade,Pública
5291,Outro motivo,Pública
5293,Qualidade/reputação,Pública
5296,Qualidade/reputação,Pública
5297,Qualidade/reputação,Pública
5298,Outro motivo,Pública
5299,Qualidade/reputação,Pública
5301,Gratuidade,Pública
5302,Gratuidade,Pública
5303,Gratuidade,Pública
5304,Gratuidade,Pública
5307,Gratuidade,Pública
5308,Gratuidade,Pública
5309,Gratuidade,Pública
5310,Facilidade de acesso,Pública
5311,Gratuidade,Pública
5312,Qualidade/reputação,Pública
5313,Outro motivo,Pública
5315,Gratuidade,Pública
5316,Gratuidade,Pública
5317,Gratuidade,Pública
5319,Gratuidade,Pública
5320,Gratuidade,Pública
5321,Gratuidade,Pública
5322,Outro motivo,Pública
5324,Facilidade de acesso,Pública
5326,Gratuidade,Pública
5327,Gratuidade,Pública
5329,Gratuidade,Pública
5330,Gratuidade,Pública
5333,Qualidade/reputação,Pública
5335,Gratuidade,Pública
5338,Gratuidade,Pública
5340,Qualidade/reputação,Pública
5341,Gratuidade,Pública
5342,Qualidade/reputação,Pública
5343,Gratuidade,Pública
5344,Gratuidade,Pública
5345,Gratuidade,Pública
5346,Facilidade de acesso,Pública
5348,Qualidade/reputação,Pública
5352,Qualidade/reputação,Pública
5353,Qualidade/reputação,Pública
5354,Qualidade/reputação,Pública
5356,Facilidade de acesso,Pública
5358,Gratuidade,Pública
5361,Qualidade/reputação,Pública
5362,Facilidade de acesso,Pública
5363,Facilidade de acesso,Pública
5367,Gratuidade,Pública
5376,Gratuidade,Pública
5377,NA,Pública
5379,Gratuidade,Pública
5383,Gratuidade,Pública
5391,Qualidade/reputação,Pública
5392,Qualidade/reputação,Pública
5395,Foi a única onde tive aprovação,Pública
5396,Gratuidade,Pública
5397,Gratuidade,Pública
5398,Gratuidade,Pública
5400,Facilidade de acesso,Pública
5401,Gratuidade,Pública
5402,Gratuidade,Pública
5403,Qualidade/reputação,Pública
5408,Qualidade/reputação,Pública
5409,Gratuidade,Pública
5410,Gratuidade,Pública
5411,Gratuidade,Pública
5414,Qualidade/reputação,Pública
5415,Gratuidade,Pública
5416,Gratuidade,Pública
5417,Gratuidade,Pública
5418,Facilidade de acesso,Pública
5420,Gratuidade,Pública
5422,Gratuidade,Pública
5424,Qualidade/reputação,Pública
5425,Gratuidade,Pública
5426,Proximidade da minha residência,Pública
5428,Gratuidade,Pública
5429,Qualidade/reputação,Pública
5430,Facilidade de acesso,Pública
5431,Gratuidade,Pública
5432,Gratuidade,Pública
5434,Gratuidade,Pública
5437,Gratuidade,Pública
5438,Qualidade/reputação,Pública
5439,Gratuidade,Pública
5440,NA,Pública
5443,Gratuidade,Pública
5445,Gratuidade,Pública
5447,Qualidade/reputação,Pública
5450,Outro motivo,Pública
5456,Facilidade de acesso,Pública
5460,Gratuidade,Pública
5463,NA,Pública
5465,Gratuidade,Pública
5468,Gratuidade,Pública
5471,Gratuidade,Pública
5472,NA,Pública
5476,Gratuidade,Pública
5477,Facilidade de acesso,Pública
5478,Qualidade/reputação,Pública
5479,Outro motivo,Pública
5480,Gratuidade,Pública
5481,Gratuidade,Pública
5482,Gratuidade,Pública
5483,Gratuidade,Pública
5484,Gratuidade,Pública
5489,Facilidade de acesso,Pública
5495,Facilidade de acesso,Pública
5496,Outro motivo,Pública
5498,Gratuidade,Pública
5499,Gratuidade,Pública
5500,Gratuidade,Pública
5501,Gratuidade,Pública
5502,Qualidade/reputação,Pública
5506,Gratuidade,Pública
5507,Gratuidade,Pública
5508,Qualidade/reputação,Pública
5509,Gratuidade,Pública
5510,Gratuidade,Pública
5512,Qualidade/reputação,Pública
5513,Qualidade/reputação,Pública
5514,Gratuidade,Pública
5515,Facilidade de acesso,Pública
5516,Gratuidade,Pública
5517,Qualidade/reputação,Pública
5520,Facilidade de acesso,Pública
5521,Gratuidade,Pública
5523,Qualidade/reputação,Pública
5525,Foi a única onde tive aprovação,Pública
5527,Gratuidade,Pública
5529,Gratuidade,Pública
5530,Facilidade de acesso,Pública
5531,Gratuidade,Pública
5532,Gratuidade,Pública
5533,Qualidade/reputação,Pública
5534,Gratuidade,Pública
5535,Qualidade/reputação,Pública
5536,Gratuidade,Pública
5537,Gratuidade,Pública
5538,Gratuidade,Pública
5539,Foi a única onde tive aprovação,Pública
5540,Qualidade/reputação,Pública
5541,Proximidade da minha residência,Pública
5542,Qualidade/reputação,Pública
5543,Gratuidade,Pública
5544,Gratuidade,Pública
5545,Qualidade/reputação,Pública
