id,A,B,C,D,E,F,G,H,I,J,K,L,Categoria
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
237,5,5,6,3,3,4,4,6,6,4,2,4,4,Pública
239,5,NA,3,NA,NA,NA,4,5,5,5,5,3,2,Pública
240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
242,3,1,4,4,4,4,6,5,6,6,2,5,6,Pública
243,2,2,1,1,3,3,2,2,1,1,2,2,3,Pública
244,5,NA,5,6,NA,NA,5,6,4,5,4,4,5,Pública
245,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
246,4,4,4,4,4,4,4,4,4,4,4,4,4,Pública
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
248,6,4,5,3,2,3,5,4,4,5,4,2,4,Pública
249,4,3,3,4,4,4,4,5,4,5,5,4,4,Pública
251,4,5,4,5,5,4,5,5,3,5,NA,6,6,Pública
252,5,5,5,5,5,5,5,5,5,5,5,6,6,Pública
253,5,NA,6,4,NA,5,5,5,5,5,4,5,5,Pública
254,5,NA,3,4,3,5,5,5,4,5,6,5,5,Pública
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
256,4,5,NA,4,4,3,2,3,4,5,4,4,4,Pública
257,5,5,5,4,4,5,4,3,5,6,5,5,4,Pública
258,6,1,6,3,2,6,5,6,6,6,6,6,6,Pública
259,5,NA,3,3,NA,5,5,4,NA,5,5,4,4,Pública
260,4,3,4,3,4,4,4,4,4,5,4,4,4,Pública
261,4,1,6,6,3,5,2,5,6,5,5,5,6,Pública
262,5,5,5,4,2,6,6,5,4,6,6,5,6,Pública
263,3,1,1,1,1,2,3,2,4,6,2,2,4,Pública
264,5,5,5,4,3,6,5,5,3,6,6,5,6,Pública
266,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
267,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
268,5,5,5,3,4,6,4,5,5,6,6,6,6,Pública
