id,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,CO_RS_I9,Categoria
762,35.7,49.5,42.9,59.5,70,50,75,49,65,45,31.1,D,Pública
763,50.3,49.9,42.9,60.5,68,60,70,53,65,50,50.4,D,Pública
764,61.3,58.3,57.1,60,68,80,65,52,80,45,62.3,D,Pública
765,71,80.8,85.7,73.5,75,75,75,72,60,75,67.7,D,Pública
766,47.4,64.9,57.1,76.5,62,50,65,91,55,100,41.5,D,Pública
767,48.1,38,28.6,52,93,65,100,11,55,0,51.4,D,Pública
768,41.4,49.6,28.6,81,67,75,65,95,75,100,38.7,C,Pública
769,28.8,35.8,14.3,68,65,65,65,71,75,70,26.5,E,Pública
770,43,42.5,57.1,20.5,41,45,40,0,0,0,43.1,D,Pública
771,52.3,34.3,57.1,0,0,0,0,0,0,0,58.3,.,Pública
772,46.9,49.6,28.6,81,91,55,100,71,55,75,46,C,Pública
773,43.2,42.1,42.9,41,82,50,90,0,0,0,43.5,E,Pública
774,71,59.7,42.9,85,96,80,100,74,70,75,74.8,D,Pública
775,52.2,50.9,42.9,63,71,75,70,55,75,50,52.6,D,Pública
776,59.6,57.3,57.1,57.5,60,40,65,55,75,50,60.3,D,Pública
777,38.1,33.4,28.6,40.5,54,70,50,27,55,20,39.7,B,Pública
778,60.2,56.5,42.9,77,77,65,80,77,85,75,61.4,E,Pública
779,55.9,61.3,57.1,67.5,79,75,80,56,80,50,54.1,D,Pública
780,22.5,54.7,57.1,51,55,55,55,47,55,45,11.7,C,Pública
781,36.6,52.7,57.1,46,66,70,65,26,30,25,31.2,B,Pública
782,45.9,69.1,57.1,87,84,60,90,90,50,100,38.2,D,Pública
783,42.1,31.6,28.6,36,56,80,50,16,80,0,45.6,C,Pública
784,56.3,64.3,57.1,75,59,75,55,91,55,100,53.6,C,Pública
785,30.4,17.2,28.6,0,0,0,0,0,0,0,34.8,B,Pública
786,41.4,66.1,57.1,79.5,86,70,90,73,65,75,33.1,E,Pública
787,55.3,55.1,42.9,73.5,75,75,75,72,60,75,55.3,E,Pública
788,45.2,54.9,42.9,73,73,65,75,73,65,75,42,C,Pública
789,57,57.7,42.9,80,67,75,65,93,65,100,56.8,D,Pública
790,44.8,76.4,71.4,84,75,75,75,93,65,100,34.2,C,Pública
791,67.8,58.9,42.9,83,94,70,100,72,80,70,70.7,D,Pública
792,37.7,34.3,57.1,0,0,0,0,0,0,0,38.8,.,Pública
793,58.3,34.4,14.3,64.5,75,75,75,54,70,50,66.2,D,Pública
794,59.7,49.9,42.9,60.5,72,60,75,49,65,45,63,.,Pública
795,56.7,41.2,28.6,60,49,65,45,71,75,70,61.8,D,Pública
796,49.5,61.5,57.1,68,46,70,40,90,50,100,45.5,C,Pública
797,44.8,64.7,57.1,76,79,75,80,73,65,75,38.1,E,Pública
798,45.2,49.9,42.9,60.5,53,65,50,68,40,75,43.6,D,Pública
799,71.1,79.2,85.7,69.5,68,80,65,71,75,70,68.4,.,Pública
800,31.5,26.8,0,67,59,75,55,75,75,75,33.1,E,Pública
802,65.8,68.3,57.1,85,76,60,80,94,70,100,64.9,D,Pública
803,57.5,50.7,42.9,62.5,95,75,100,30,50,25,59.8,D,Pública
804,65.6,51.9,42.9,65.5,75,75,75,56,80,50,70.1,D,Pública
805,66.3,83.8,85.7,81,89,85,90,73,65,75,60.4,D,Pública
806,55.4,74.8,71.4,80,64,60,65,96,80,100,48.9,E,Pública
807,26.9,45.3,42.9,49,54,30,60,44,40,45,20.7,E,Pública
808,51.2,57.7,42.9,80,85,65,90,75,75,75,49,E,Pública
809,54,40.4,28.6,58,65,65,65,51,55,50,58.5,D,Pública
810,52.2,60.5,57.1,65.5,75,55,80,56,80,50,49.4,D,Pública
811,49.2,68.6,71.4,64.5,53,65,50,76,80,75,42.7,D,Pública
812,54.6,56.9,57.1,56.5,16,80,0,97,85,100,53.8,D,Pública
813,28.3,28.6,14.3,50,25,65,15,75,75,75,28.2,C,Pública
814,61.7,75.6,71.4,82,69,85,65,95,75,100,57,C,Pública
815,66.8,76.6,71.4,84.5,96,80,100,73,65,75,63.5,C,Pública
816,50.8,47.6,28.6,76,59,75,55,93,65,100,51.9,D,Pública
817,63.5,75.6,71.4,82,94,70,100,70,50,75,59.5,.,Pública
818,48.3,71.8,71.4,72.5,75,75,75,70,70,70,40.5,E,Pública
819,68.4,52.6,71.4,24.5,0,50,0,49,65,45,73.6,D,Pública
820,53.9,68.3,57.1,85,76,60,80,94,70,100,49.1,D,Pública
821,35.4,39.4,14.3,77,64,60,65,90,50,100,34.1,D,Pública
822,37.4,17.2,28.6,0,0,0,0,0,0,0,44.1,D,Pública
823,37,54.7,42.9,72.5,70,50,75,75,75,75,31.1,D,Pública
824,54.3,45.3,42.9,49,48,60,45,50,50,50,57.3,C,Pública
825,41.7,49,28.6,79.5,66,50,70,93,65,100,39.2,C,Pública
826,37.4,55.3,57.1,52.5,42,50,40,63,35,70,31.4,.,Pública
827,37.4,59.1,57.1,62,76,60,80,48,40,50,30.2,B,Pública
828,32.1,33,14.3,61,52,60,50,70,50,75,31.8,.,Pública
829,71.6,65.4,71.4,56.5,64,80,60,49,65,45,73.6,D,Pública
830,27.5,32.5,42.9,17,34,50,30,0,0,0,25.8,C,Pública
832,46.2,61.1,42.9,88.5,90,50,100,87,35,100,41.2,D,Pública
833,49.9,55.3,42.9,74,73,65,75,75,75,75,48.1,C,Pública
834,44,36,14.3,68.5,45,65,40,92,60,100,46.6,C,Pública
835,57.6,47.3,42.9,54,45,45,45,63,35,70,61,C,Pública
836,61.2,70.8,71.4,70,67,75,65,73,85,70,58,C,Pública
837,51.4,53.7,42.9,70,68,60,70,72,60,75,50.6,D,Pública
838,60.6,87.8,100,69.5,85,65,90,54,70,50,51.5,C,Pública
840,43,59.3,57.1,62.5,52,60,50,73,65,75,37.6,C,Pública
841,49.8,42.1,42.9,41,53,65,50,29,65,20,52.4,D,Pública
842,52.9,52.1,42.9,66,59,75,55,73,65,75,53.1,D,Pública
843,37.8,36.6,14.3,70,70,70,70,70,50,75,38.2,D,Pública
